name,description,link
gta5-self-driving,Never crash your whip ever again in GTA5,https://devpost.com/software/gta5-self-driving
Generating Image Descriptions,Using deep learning to generate captions for images.,https://devpost.com/software/generating-image-descriptions
Machine Composed Music using Deep Neural Networks,"Using the power of a generative adversarial network (GAN) trained on a public classical music dataset, we aim to create classical music that is not only listenable, but interesting and complex.",https://devpost.com/software/machine-composed-music-using-deep-neural-networks
Generating English Poetry from Text Image,"Our group aims to make the process of poetry creation as easy as uploading a text image, and our model generates a beautiful poem based on it.",https://devpost.com/software/generating-english-poetry-from-image
Advecting 3D Meshes using Point Cloud Interpolations,"This project investigates the deformation of 3D shapes by using a point cloud interpolation sequence, which is generated via a point cloud GAN.",https://devpost.com/software/3d-shape-synthesis-and-deformation
Winners and Whiners: Applying Deep Learning to the NBA,We utilized two models: a live-time play-by-play LSTM and a dense model that utilized player/team stats We closely model important features of data that we believe are domain specific to basketball.,https://devpost.com/software/applying-deep-learning-techniques-to-nba-predictions
Racial Bias & the Loaded Language of Gun-Violence Reporting,"For our project, we are investigating racial bias in American media’s reporting of gun-violence-related incidents by analyzing Professor Pavlick’s gun violence database: http://gun-violence.org/.",https://devpost.com/software/racial-bias-the-loaded-language-of-gun-violence-reporting
Deep Correct: DL Color Correction for Color Blindness,GAN inspired model to produce color corrected images to aid in object recognition for color-blind people.,https://devpost.com/software/deep-correct-dl-color-correction-for-color-blindness
Reinforcement Game AI,Reimplement a reinforcement learning AI for card game,https://devpost.com/software/reinforcement-game-ai-rfki0o
boilbeans,we are trying to use deep learning to predict the closing price of the stock market for the upcoming days,https://devpost.com/software/boilbeans
Smart Parks and Rec,The study of the usages of urban greeneries are helpful in understanding their mental and physical health benefits on the community. We predict the function of an urban greenery given images of it.,https://devpost.com/software/smart-parks-and-rec
DeepAnimation,A vector-based generation model that predicts the next possible keyframes for animation given an SVG input in real-time.,https://devpost.com/software/deepanimation
Deep Learning Final Project,Hit Song Prediction using Deep Learning,https://devpost.com/software/deep-learning-final-project-y2cmhe
Deep Learning for Weather Related PDEs,Deep Learning for Weather Related PDEs,https://devpost.com/software/deep-learning-for-weather-related-pdes
Style Transform Based on GAN,style transform using GAN,https://devpost.com/software/style-transform-based-on-gan
DeepWalk By ShallowRun,Keep walking...,https://devpost.com/software/deepwalk-by-shallowrun
NOTHING,NOTHING,https://devpost.com/software/meibomian-glands
Sign Language Translation,"Real-time sign language to text conversion. Team Members: Justin Rhee (jrhee8) , Matthew Shinkar (mshinkar), Samantha Hong (shong41)",https://devpost.com/software/sign-language-project
Sha'ireen,A natural language processing model that generates intelligible captions for images in the Arabic language,https://devpost.com/software/shai-ireen
Strikeout,Predicting baseball pitches from a video of the pitcher's windup,https://devpost.com/software/strikeout
Implementation of CycleGAN on Images and Videos,A model that changes the style of world you see!,https://devpost.com/software/csci1470_final_newbeedui
DEEP LEARNING FOR QUANTUM CHEMISTRY,"In this work, we compare the use of discrete filtered CNNS versus continuous filters, particularly for quantum chemistry problems.",https://devpost.com/software/deep-learning-for-quantum-chemistry
Using GANs to Generate Realistic Art,"We are using GANs to generate art. We will be attempting to create abstract art, as well as portrait and landscape art.",https://devpost.com/software/using-gans-to-generate-realistic-art
Music Generation,We are working on a model to generate music.,https://devpost.com/software/music-generation-s4jvz7
Ensemble Model for VR Game Design,"We present the Gamifier ensemble program, combining 3 deep learning models to generate 3D meshes and color palettes of relevant objects given one word as the user input.",https://devpost.com/software/gamifiers-deep-3d-mesh-generation-for-game-design
Turbulence Modeling using Deep Learning,"PINNs can be used to solve ill-posed problems, where the parameters of turbulence models are learned via Neural Network whilst producing the solution of the partial differential equations.",https://devpost.com/software/turbulence-modeling-using-deep-learning
big dawgs,predicting nba spreads with deep learning,https://devpost.com/software/big-dawgs
The Effect of Elon Musk’s Tweets on the Crypto Market,"An examination how Elon Musk’s tweets affect the trading price of cryptocurrencies (bitcoin, ethereum, dogecoin)",https://devpost.com/software/the-effect-of-elon-musk-s-tweets-on-cryptocurrencies
Bot or Not ?,Twitter bot classification using supervised learning and natural language processing.,https://devpost.com/software/bot-or-not-xlwh1e
Generation of Novel Recipes Using LSTMs,Cooking is hard work. Creating new recipes is even harder. RNN LSTMs to the rescue?,https://devpost.com/software/generation-of-novel-recipes-using-lstms
Cartoonify an image,"In this project, we are cartoony an image and image to image translation using different algorithms. First, we convert an image (Image of my face) to a cartoon image using different algorithms.",https://devpost.com/software/fresh-fields
KMuse,Lyrical Analysis and Song Suggestion,https://devpost.com/software/kmuse-1q72el
Arogya,It will allow people to check their health and help to keep the environment healthy,https://devpost.com/software/arogya-phrdvi
Alpha Trade,Stock Trading Bot with Deep Q-Network,https://devpost.com/software/alpha-trade
Predicting College Football Wins,Using statistics from past years to predict number of expected wins in upcoming season,https://devpost.com/software/predicting-college-football-wins
Image Segmentation for Prostate MRI,We implemented 4 CNN-based image segmentation models to deal with prostate MRI,https://devpost.com/software/image-segmentation-for-prostate-mri-71cowt
